title,description,category,price,discount_percentage,rating,stock,brand,sku,thumbnail
"Fish Steak","Quality fish steak, suitable for grilling, baking, or pan-searing.",groceries,14.99,4.23,3.78,74,,GRO-BRD-FIS-024,https://cdn.dummyjson.com/product-images/groceries/fish-steak/thumbnail.webp
"Green Bell Pepper","Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.",groceries,1.29,0.16,3.25,33,,GRO-BRD-GRE-025,https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/thumbnail.webp
"Green Chili Pepper","Spicy green chili pepper, ideal for adding heat to your favorite recipes.",groceries,0.99,1,3.66,3,,GRO-BRD-GRE-026,https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/thumbnail.webp
"Honey Jar","Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.",groceries,6.99,14.4,3.97,34,,GRO-BRD-HON-027,https://cdn.dummyjson.com/product-images/groceries/honey-jar/thumbnail.webp
"Ice Cream","Creamy and delicious ice cream, available in various flavors for a delightful treat.",groceries,5.49,8.69,3.39,27,,GRO-BRD-CRE-028,https://cdn.dummyjson.com/product-images/groceries/ice-cream/thumbnail.webp
Juice,"Refreshing fruit juice, packed with vitamins and great for staying hydrated.",groceries,3.99,12.06,3.94,50,,GRO-BRD-JUI-029,https://cdn.dummyjson.com/product-images/groceries/juice/thumbnail.webp
Kiwi,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.",groceries,2.49,15.22,4.93,99,,GRO-BRD-KIW-030,https://cdn.dummyjson.com/product-images/groceries/kiwi/thumbnail.webp
Lemon,"Zesty and tangy lemons, versatile for cooking, baking, or making refreshing beverages.",groceries,0.79,9.7,3.53,31,,GRO-BRD-LEM-031,https://cdn.dummyjson.com/product-images/groceries/lemon/thumbnail.webp
Milk,"Fresh and nutritious milk, a staple for various recipes and daily consumption.",groceries,3.49,13.74,2.61,27,,GRO-BRD-MIL-032,https://cdn.dummyjson.com/product-images/groceries/milk/thumbnail.webp
Mulberry,"Sweet and juicy mulberries, perfect for snacking or adding to desserts and cereals.",groceries,4.99,12.87,4.95,99,,GRO-BRD-MUL-033,https://cdn.dummyjson.com/product-images/groceries/mulberry/thumbnail.webp
"Nescafe Coffee","Quality coffee from Nescafe, available in various blends for a rich and satisfying cup.",groceries,7.99,1.59,4.82,57,,GRO-BRD-NES-034,https://cdn.dummyjson.com/product-images/groceries/nescafe-coffee/thumbnail.webp
Potatoes,"Versatile and starchy potatoes, great for roasting, mashing, or as a side dish.",groceries,2.29,5.38,4.81,13,,GRO-BRD-POT-035,https://cdn.dummyjson.com/product-images/groceries/potatoes/thumbnail.webp
"Protein Powder","Nutrient-packed protein powder, ideal for supplementing your diet with essential proteins.",groceries,19.99,7.59,4.18,80,,GRO-BRD-PRO-036,https://cdn.dummyjson.com/product-images/groceries/protein-powder/thumbnail.webp
"Red Onions","Flavorful and aromatic red onions, perfect for adding depth to your savory dishes.",groceries,1.99,9.9,4.2,82,,GRO-BRD-ONI-037,https://cdn.dummyjson.com/product-images/groceries/red-onions/thumbnail.webp
Rice,"High-quality rice, a staple for various cuisines and a versatile base for many dishes.",groceries,5.99,9.29,3.18,59,,GRO-BRD-RIC-038,https://cdn.dummyjson.com/product-images/groceries/rice/thumbnail.webp
"Soft Drinks","Assorted soft drinks in various flavors, perfect for refreshing beverages.",groceries,1.99,17.48,4.75,53,,GRO-BRD-SOF-039,https://cdn.dummyjson.com/product-images/groceries/soft-drinks/thumbnail.webp
Strawberry,"Sweet and succulent strawberries, great for snacking, desserts, or blending into smoothies.",groceries,3.99,1.12,3.08,46,,GRO-BRD-STR-040,https://cdn.dummyjson.com/product-images/groceries/strawberry/thumbnail.webp
"Tissue Paper Box","Convenient tissue paper box for everyday use, providing soft and absorbent tissues.",groceries,2.49,13.28,2.69,86,,GRO-BRD-TIS-041,https://cdn.dummyjson.com/product-images/groceries/tissue-paper-box/thumbnail.webp
Water,"Pure and refreshing bottled water, essential for staying hydrated throughout the day.",groceries,0.99,14.92,4.96,53,,GRO-BRD-WAT-042,https://cdn.dummyjson.com/product-images/groceries/water/thumbnail.webp
"Decoration Swing","The Decoration Swing is a charming addition to your home decor. Crafted with intricate details, it adds a touch of elegance and whimsy to any room.",home-decoration,59.99,10.41,3.16,47,,HOM-BRD-DEC-043,https://cdn.dummyjson.com/product-images/home-decoration/decoration-swing/thumbnail.webp
"Family Tree Photo Frame","The Family Tree Photo Frame is a sentimental and stylish way to display your cherished family memories. With multiple photo slots, it tells the story of your loved ones.",home-decoration,29.99,14.87,4.53,77,,HOM-BRD-FAM-044,https://cdn.dummyjson.com/product-images/home-decoration/family-tree-photo-frame/thumbnail.webp
"House Showpiece Plant","The House Showpiece Plant is an artificial plant that brings a touch of nature to your home without the need for maintenance. It adds greenery and style to any space.",home-decoration,39.99,7.46,4.67,28,,HOM-BRD-HOU-045,https://cdn.dummyjson.com/product-images/home-decoration/house-showpiece-plant/thumbnail.webp
"Plant Pot","The Plant Pot is a stylish container for your favorite plants. With a sleek design, it complements your indoor or outdoor garden, adding a modern touch to your plant display.",home-decoration,14.99,6.84,3.01,59,,HOM-BRD-PLA-046,https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/thumbnail.webp
"Table Lamp","The Table Lamp is a functional and decorative lighting solution for your living space. With a modern design, it provides both ambient and task lighting, enhancing the atmosphere.",home-decoration,49.99,7.09,3.55,9,,HOM-BRD-TAB-047,https://cdn.dummyjson.com/product-images/home-decoration/table-lamp/thumbnail.webp
"Bamboo Spatula","The Bamboo Spatula is a versatile kitchen tool made from eco-friendly bamboo. Ideal for flipping, stirring, and serving various dishes.",kitchen-accessories,7.99,2.84,3.27,37,,KIT-BRD-BAM-048,https://cdn.dummyjson.com/product-images/kitchen-accessories/bamboo-spatula/thumbnail.webp
"Black Aluminium Cup","The Black Aluminium Cup is a stylish and durable cup suitable for both hot and cold beverages. Its sleek black design adds a modern touch to your drinkware collection.",kitchen-accessories,5.99,15.65,4.46,75,,KIT-BRD-BLA-049,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-aluminium-cup/thumbnail.webp
"Black Whisk","The Black Whisk is a kitchen essential for whisking and beating ingredients. Its ergonomic handle and sleek design make it a practical and stylish tool.",kitchen-accessories,9.99,10.24,3.9,73,,KIT-BRD-BLA-050,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-whisk/thumbnail.webp
"Boxed Blender","The Boxed Blender is a powerful and compact blender perfect for smoothies, shakes, and more. Its convenient design and multiple functions make it a versatile kitchen appliance.",kitchen-accessories,39.99,7.26,4.56,9,,KIT-BRD-BOX-051,https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/thumbnail.webp
"Carbon Steel Wok","The Carbon Steel Wok is a versatile cooking pan suitable for stir-frying, sautéing, and deep frying. Its sturdy construction ensures even heat distribution for delicious meals.",kitchen-accessories,29.99,6.53,4.05,40,,KIT-BRD-CAR-052,https://cdn.dummyjson.com/product-images/kitchen-accessories/carbon-steel-wok/thumbnail.webp
"Chopping Board","The Chopping Board is an essential kitchen accessory for food preparation. Made from durable material, it provides a safe and hygienic surface for cutting and chopping.",kitchen-accessories,12.99,8.03,3.7,14,,KIT-BRD-CHO-053,https://cdn.dummyjson.com/product-images/kitchen-accessories/chopping-board/thumbnail.webp
"Citrus Squeezer Yellow","The Citrus Squeezer in Yellow is a handy tool for extracting juice from citrus fruits. Its vibrant color adds a cheerful touch to your kitchen gadgets.",kitchen-accessories,8.99,12.1,4.63,22,,KIT-BRD-CIT-054,https://cdn.dummyjson.com/product-images/kitchen-accessories/citrus-squeezer-yellow/thumbnail.webp
"Egg Slicer","The Egg Slicer is a convenient tool for slicing boiled eggs evenly. It's perfect for salads, sandwiches, and other dishes where sliced eggs are desired.",kitchen-accessories,6.99,14.76,3.09,40,,KIT-BRD-SLI-055,https://cdn.dummyjson.com/product-images/kitchen-accessories/egg-slicer/thumbnail.webp
"Electric Stove","The Electric Stove provides a portable and efficient cooking solution. Ideal for small kitchens or as an additional cooking surface for various culinary needs.",kitchen-accessories,49.99,14.04,4.11,21,,KIT-BRD-ELE-056,https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/thumbnail.webp
"Fine Mesh Strainer","The Fine Mesh Strainer is a versatile tool for straining liquids and sifting dry ingredients. Its fine mesh ensures efficient filtering for smooth cooking and baking.",kitchen-accessories,9.99,3.5,3.04,85,,KIT-BRD-FIN-057,https://cdn.dummyjson.com/product-images/kitchen-accessories/fine-mesh-strainer/thumbnail.webp
Fork,"The Fork is a classic utensil for various dining and serving purposes. Its durable and ergonomic design makes it a reliable choice for everyday use.",kitchen-accessories,3.99,8.07,3.11,7,,KIT-BRD-FOR-058,https://cdn.dummyjson.com/product-images/kitchen-accessories/fork/thumbnail.webp
Glass,"The Glass is a versatile and elegant drinking vessel suitable for a variety of beverages. Its clear design allows you to enjoy the colors and textures of your drinks.",kitchen-accessories,4.99,7.92,4.02,46,,KIT-BRD-GLA-059,https://cdn.dummyjson.com/product-images/kitchen-accessories/glass/thumbnail.webp
"Grater Black","The Grater in Black is a handy kitchen tool for grating cheese, vegetables, and more. Its sleek design and sharp blades make food preparation efficient and easy.",kitchen-accessories,10.99,3.56,3.21,84,,KIT-BRD-GRA-060,https://cdn.dummyjson.com/product-images/kitchen-accessories/grater-black/thumbnail.webp
"Hand Blender","The Hand Blender is a versatile kitchen appliance for blending, pureeing, and mixing. Its compact design and powerful motor make it a convenient tool for various recipes.",kitchen-accessories,34.99,17.02,3.86,84,,KIT-BRD-HAN-061,https://cdn.dummyjson.com/product-images/kitchen-accessories/hand-blender/thumbnail.webp
"Ice Cube Tray","The Ice Cube Tray is a practical accessory for making ice cubes in various shapes. Perfect for keeping your drinks cool and adding a fun element to your beverages.",kitchen-accessories,5.99,0.63,4.71,13,,KIT-BRD-CUB-062,https://cdn.dummyjson.com/product-images/kitchen-accessories/ice-cube-tray/thumbnail.webp
"Kitchen Sieve","The Kitchen Sieve is a versatile tool for sifting and straining dry and wet ingredients. Its fine mesh design ensures smooth results in your cooking and baking.",kitchen-accessories,7.99,18.91,3.09,68,,KIT-BRD-KIT-063,https://cdn.dummyjson.com/product-images/kitchen-accessories/kitchen-sieve/thumbnail.webp
Knife,"The Knife is an essential kitchen tool for chopping, slicing, and dicing. Its sharp blade and ergonomic handle make it a reliable choice for food preparation.",kitchen-accessories,14.99,18.86,3.26,7,,KIT-BRD-KNI-064,https://cdn.dummyjson.com/product-images/kitchen-accessories/knife/thumbnail.webp
"Lunch Box","The Lunch Box is a convenient and portable container for packing and carrying your meals. With compartments for different foods, it's perfect for on-the-go dining.",kitchen-accessories,12.99,10.34,4.93,94,,KIT-BRD-LUN-065,https://cdn.dummyjson.com/product-images/kitchen-accessories/lunch-box/thumbnail.webp
"Microwave Oven","The Microwave Oven is a versatile kitchen appliance for quick and efficient cooking, reheating, and defrosting. Its compact size makes it suitable for various kitchen setups.",kitchen-accessories,89.99,12.13,4.82,59,,KIT-BRD-MIC-066,https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/thumbnail.webp
"Mug Tree Stand","The Mug Tree Stand is a stylish and space-saving solution for organizing your mugs. Keep your favorite mugs easily accessible and neatly displayed in your kitchen.",kitchen-accessories,15.99,9.25,2.64,88,,KIT-BRD-TRE-067,https://cdn.dummyjson.com/product-images/kitchen-accessories/mug-tree-stand/thumbnail.webp
Pan,"The Pan is a versatile and essential cookware item for frying, sautéing, and cooking various dishes. Its non-stick coating ensures easy food release and cleanup.",kitchen-accessories,24.99,3,2.79,90,,KIT-BRD-PRD-068,https://cdn.dummyjson.com/product-images/kitchen-accessories/pan/thumbnail.webp
Plate,"The Plate is a classic and essential dishware item for serving meals. Its durable and stylish design makes it suitable for everyday use or special occasions.",kitchen-accessories,3.99,7.31,3.65,66,,KIT-BRD-PLA-069,https://cdn.dummyjson.com/product-images/kitchen-accessories/plate/thumbnail.webp
"Red Tongs","The Red Tongs are versatile kitchen tongs suitable for various cooking and serving tasks. Their vibrant color adds a pop of excitement to your kitchen utensils.",kitchen-accessories,6.99,14.52,4.42,82,,KIT-BRD-TON-070,https://cdn.dummyjson.com/product-images/kitchen-accessories/red-tongs/thumbnail.webp
"Silver Pot With Glass Cap","The Silver Pot with Glass Cap is a stylish and functional cookware item for boiling, simmering, and preparing delicious meals. Its glass cap allows you to monitor cooking progress.",kitchen-accessories,39.99,5.7,3.22,40,,KIT-BRD-SIL-071,https://cdn.dummyjson.com/product-images/kitchen-accessories/silver-pot-with-glass-cap/thumbnail.webp
"Slotted Turner","The Slotted Turner is a kitchen utensil designed for flipping and turning food items. Its slotted design allows excess liquid to drain, making it ideal for frying and sautéing.",kitchen-accessories,8.99,13.35,3.4,88,,KIT-BRD-SLO-072,https://cdn.dummyjson.com/product-images/kitchen-accessories/slotted-turner/thumbnail.webp
"Spice Rack","The Spice Rack is a convenient organizer for your spices and seasonings. Keep your kitchen essentials within reach and neatly arranged with this stylish spice rack.",kitchen-accessories,19.99,12.09,4.87,79,,KIT-BRD-SPI-073,https://cdn.dummyjson.com/product-images/kitchen-accessories/spice-rack/thumbnail.webp
Spoon,"The Spoon is a versatile kitchen utensil for stirring, serving, and tasting. Its ergonomic design and durable construction make it an essential tool for every kitchen.",kitchen-accessories,4.99,1.53,4.03,59,,KIT-BRD-SPO-074,https://cdn.dummyjson.com/product-images/kitchen-accessories/spoon/thumbnail.webp
Tray,"The Tray is a functional and decorative item for serving snacks, appetizers, or drinks. Its stylish design makes it a versatile accessory for entertaining guests.",kitchen-accessories,16.99,7.48,4.62,71,,KIT-BRD-TRA-075,https://cdn.dummyjson.com/product-images/kitchen-accessories/tray/thumbnail.webp
"Wooden Rolling Pin","The Wooden Rolling Pin is a classic kitchen tool for rolling out dough for baking. Its smooth surface and sturdy handles make it easy to achieve uniform thickness.",kitchen-accessories,11.99,9.75,2.92,80,,KIT-BRD-WOO-076,https://cdn.dummyjson.com/product-images/kitchen-accessories/wooden-rolling-pin/thumbnail.webp
"Yellow Peeler","The Yellow Peeler is a handy tool for peeling fruits and vegetables with ease. Its bright yellow color adds a cheerful touch to your kitchen gadgets.",kitchen-accessories,5.99,12.48,4.24,35,,KIT-BRD-YEL-077,https://cdn.dummyjson.com/product-images/kitchen-accessories/yellow-peeler/thumbnail.webp
"Apple MacBook Pro 14 Inch Space Grey","The MacBook Pro 14 Inch in Space Grey is a powerful and sleek laptop, featuring Apple's M1 Pro chip for exceptional performance and a stunning Retina display.",laptops,1999.99,4.69,3.65,24,Apple,LAP-APP-APP-078,https://cdn.dummyjson.com/product-images/laptops/apple-macbook-pro-14-inch-space-grey/thumbnail.webp
"Asus Zenbook Pro Dual Screen Laptop","The Asus Zenbook Pro Dual Screen Laptop is a high-performance device with dual screens, providing productivity and versatility for creative professionals.",laptops,1799.99,11.14,3.95,45,Asus,LAP-ASU-ASU-079,https://cdn.dummyjson.com/product-images/laptops/asus-zenbook-pro-dual-screen-laptop/thumbnail.webp
"Huawei Matebook X Pro","The Huawei Matebook X Pro is a slim and stylish laptop with a high-resolution touchscreen display, offering a premium experience for users on the go.",laptops,1399.99,9.38,4.98,75,Huawei,LAP-HUA-HUA-080,https://cdn.dummyjson.com/product-images/laptops/huawei-matebook-x-pro/thumbnail.webp
"Lenovo Yoga 920","The Lenovo Yoga 920 is a 2-in-1 convertible laptop with a flexible hinge, allowing you to use it as a laptop or tablet, offering versatility and portability.",laptops,1099.99,6.55,2.86,40,Lenovo,LAP-LEN-LEN-081,https://cdn.dummyjson.com/product-images/laptops/lenovo-yoga-920/thumbnail.webp
"New DELL XPS 13 9300 Laptop","The New DELL XPS 13 9300 Laptop is a compact and powerful device, featuring a virtually borderless InfinityEdge display and high-end performance for various tasks.",laptops,1499.99,11.89,2.67,74,Dell,LAP-DEL-DEL-082,https://cdn.dummyjson.com/product-images/laptops/new-dell-xps-13-9300-laptop/thumbnail.webp
"Blue & Black Check Shirt","The Blue & Black Check Shirt is a stylish and comfortable men's shirt featuring a classic check pattern. Made from high-quality fabric, it's suitable for both casual and semi-formal occasions.",mens-shirts,29.99,15.35,3.64,38,"Fashion Trends",MEN-FAS-BLU-083,https://cdn.dummyjson.com/product-images/mens-shirts/blue-&-black-check-shirt/thumbnail.webp
"Gigabyte Aorus Men Tshirt","The Gigabyte Aorus Men Tshirt is a cool and casual shirt for gaming enthusiasts. With the Aorus logo and sleek design, it's perfect for expressing your gaming style.",mens-shirts,24.99,0.94,3.18,90,Gigabyte,MEN-GIG-GIG-084,https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/thumbnail.webp
"Man Plaid Shirt","The Man Plaid Shirt is a timeless and versatile men's shirt with a classic plaid pattern. Its comfortable fit and casual style make it a wardrobe essential for various occasions.",mens-shirts,34.99,19.5,3.46,82,"Classic Wear",MEN-CLA-PLA-085,https://cdn.dummyjson.com/product-images/mens-shirts/man-plaid-shirt/thumbnail.webp
"Man Short Sleeve Shirt","The Man Short Sleeve Shirt is a breezy and stylish option for warm days. With a comfortable fit and short sleeves, it's perfect for a laid-back yet polished look.",mens-shirts,19.99,6.83,2.9,2,"Casual Comfort",MEN-CAS-SHO-086,https://cdn.dummyjson.com/product-images/mens-shirts/man-short-sleeve-shirt/thumbnail.webp
"Men Check Shirt","The Men Check Shirt is a classic and versatile shirt featuring a stylish check pattern. Suitable for various occasions, it adds a smart and polished touch to your wardrobe.",mens-shirts,27.99,11.38,2.72,95,"Urban Chic",MEN-URB-CHE-087,https://cdn.dummyjson.com/product-images/mens-shirts/men-check-shirt/thumbnail.webp
"Nike Air Jordan 1 Red And Black","The Nike Air Jordan 1 in Red and Black is an iconic basketball sneaker known for its stylish design and high-performance features, making it a favorite among sneaker enthusiasts and athletes.",mens-shoes,149.99,4.12,4.77,7,Nike,MEN-NIK-NIK-088,https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/thumbnail.webp
"Nike Baseball Cleats","Nike Baseball Cleats are designed for maximum traction and performance on the baseball field. They provide stability and support for players during games and practices.",mens-shoes,79.99,18.04,3.88,12,Nike,MEN-NIK-NIK-089,https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/thumbnail.webp
"Puma Future Rider Trainers","The Puma Future Rider Trainers offer a blend of retro style and modern comfort. Perfect for casual wear, these trainers provide a fashionable and comfortable option for everyday use.",mens-shoes,89.99,4.2,4.9,90,Puma,MEN-PUM-PUM-090,https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/thumbnail.webp
"Sports Sneakers Off White & Red","The Sports Sneakers in Off White and Red combine style and functionality, making them a fashionable choice for sports enthusiasts. The red and off-white color combination adds a bold and energetic touch.",mens-shoes,119.99,4.97,4.77,17,"Off White",MEN-OFF-SPO-091,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-&-red/thumbnail.webp
"Sports Sneakers Off White Red","Another variant of the Sports Sneakers in Off White Red, featuring a unique design. These sneakers offer style and comfort for casual occasions.",mens-shoes,109.99,0.04,4.69,62,"Off White",MEN-OFF-SPO-092,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/thumbnail.webp
"Brown Leather Belt Watch","The Brown Leather Belt Watch is a stylish timepiece with a classic design. Featuring a genuine leather strap and a sleek dial, it adds a touch of sophistication to your look.",mens-watches,89.99,5.99,4.19,32,"Fashion Timepieces",MEN-FAS-BRO-093,https://cdn.dummyjson.com/product-images/mens-watches/brown-leather-belt-watch/thumbnail.webp
"Longines Master Collection","The Longines Master Collection is an elegant and refined watch known for its precision and craftsmanship. With a timeless design, it's a symbol of luxury and sophistication.",mens-watches,1499.99,17.24,3.87,100,Longines,MEN-LON-LON-094,https://cdn.dummyjson.com/product-images/mens-watches/longines-master-collection/thumbnail.webp
"Rolex Cellini Date Black Dial","The Rolex Cellini Date with Black Dial is a classic and prestigious watch. With a black dial and date complication, it exudes sophistication and is a symbol of Rolex's heritage.",mens-watches,8999.99,8.88,4.97,40,Rolex,MEN-ROL-ROL-095,https://cdn.dummyjson.com/product-images/mens-watches/rolex-cellini-date-black-dial/thumbnail.webp
"Rolex Cellini Moonphase","The Rolex Cellini Moonphase is a masterpiece of horology, featuring a moon phase complication and exquisite design. It reflects Rolex's commitment to precision and elegance.",mens-watches,12999.99,17.52,2.58,36,Rolex,MEN-ROL-ROL-096,https://cdn.dummyjson.com/product-images/mens-watches/rolex-cellini-moonphase/thumbnail.webp
"Rolex Datejust","The Rolex Datejust is an iconic and versatile timepiece with a date window. Known for its timeless design and reliability, it's a symbol of Rolex's watchmaking excellence.",mens-watches,10999.99,3.73,3.66,86,Rolex,MEN-ROL-ROL-097,https://cdn.dummyjson.com/product-images/mens-watches/rolex-datejust/thumbnail.webp
"Rolex Submariner Watch","The Rolex Submariner is a legendary dive watch with a rich history. Known for its durability and water resistance, it's a symbol of adventure and exploration.",mens-watches,13999.99,5.05,2.69,55,Rolex,MEN-ROL-ROL-098,https://cdn.dummyjson.com/product-images/mens-watches/rolex-submariner-watch/thumbnail.webp
"Amazon Echo Plus","The Amazon Echo Plus is a smart speaker with built-in Alexa voice control. It features premium sound quality and serves as a hub for controlling smart home devices.",mobile-accessories,99.99,12.07,4.99,61,Amazon,MOB-AMA-AMA-099,https://cdn.dummyjson.com/product-images/mobile-accessories/amazon-echo-plus/thumbnail.webp
